ts,pl,rt,cpu,freemem
1667198231,10460,0.054,0.8792784458834413,9854509056
1667198231,13897,0.074,0.8771764705882353,9854509056
1667198246,17305,0.052,0.9138513513513513,9898848256
1667198246,10076,0.064,0.9147826086956522,9898848256
1667198276,15662,0.077,0.9002770083102493,9933197312
1667198276,19248,0.072,0.8976093820478124,9933197312
1667198292,22474,0.086,0.8952424519670631,9894297600
1667198292,18331,0.052,0.8952903520804756,9894297600
1667198307,10566,0.106,0.8866075594960336,9926340608
1667198307,14311,0.056,0.8872109485606419,9926340608
1667198307,21164,0.058,0.8889952153110048,9926340608
1667198321,9832,0.102,0.8896713615023474,9909706752
1667198321,6084,0.069,0.8899905571293674,9909706752
1667198336,8444,0.052,0.8724202626641651,9923256320
1667198336,15965,0.056,0.8715083798882681,9923256320
1667198336,17478,0.066,0.8723004694835681,9923256320
1667198336,21427,0.059,0.8723004694835681,9923256320
1667198336,12243,0.055,0.8719027582982702,9923256320
1667198336,13388,0.082,0.8741658722592945,9923256320
1667198352,18220,0.064,0.9033259423503326,9920954368
1667198352,14197,0.054,0.9050522648083623,9920954368
1667198352,10828,0.058,0.9049280418665504,9920954368
1667198352,6988,0.053,0.9048865619546248,9920954368
1667198367,18080,0.090,0.8774740810556079,9895772160
1667198367,14042,0.059,0.8774740810556079,9895772160
1667198367,10171,0.058,0.8813806514341274,9895772160
1667198382,6087,0.095,0.9109856708640903,9896103936
1667198382,21388,0.061,0.9109856708640903,9896103936
1667198382,9825,0.057,0.9109856708640903,9896103936
1667198382,17730,0.055,0.9109856708640903,9896103936
1667198382,13584,0.056,0.9109856708640903,9896103936
1667198397,8662,0.084,0.881109022556391,9928437760
1667198397,16284,0.085,0.8806738418343472,9928437760
1667198397,12351,0.085,0.8807296538821329,9928437760
