ts,pl,rt,cpu,freemem
1667196671,10390,0.098,0.8963707914298207,10057465856
1667196671,7380,0.119,0.8963707914298207,10057465856
1667196671,4811,0.109,0.8962962962962963,10057465856
1667196686,14816,0.061,0.8942390369733448,10054909952
1667196686,12925,0.049,0.8931005110732538,10054909952
1667196686,6214,0.052,0.8942844864632574,10054909952
1667196686,9026,0.054,0.8942390369733448,10054909952
1667196686,12059,0.065,0.8942390369733448,10054909952
1667196702,15298,0.055,0.8852173913043478,10010050560
1667196702,6721,0.052,0.8852173913043478,10010050560
1667196702,12541,0.110,0.8852173913043478,10010050560
1667196702,9646,0.078,0.8852173913043478,10010050560
1667196702,18287,0.054,0.8852173913043478,10010050560
1667196717,13422,0.053,0.8914386584289496,10061471744
1667196717,10403,0.049,0.8914386584289496,10061471744
1667196717,18999,0.067,0.8914386584289496,10061471744
1667196717,16483,0.052,0.8914386584289496,10061471744
1667196717,7535,0.054,0.8914386584289496,10061471744
1667196732,10394,0.052,0.8780709736123748,10051088384
1667196732,7348,0.058,0.8780709736123748,10051088384
1667196732,19318,0.049,0.8780709736123748,10051088384
1667196732,13354,0.055,0.8780709736123748,10051088384
1667196732,16308,0.068,0.8780709736123748,10051088384
1667196748,14017,0.081,0.9173084718281314,10050981888
1667196748,10974,0.129,0.9173084718281314,10050981888
1667196748,19884,0.083,0.9173084718281314,10050981888
1667196748,8033,0.084,0.9173084718281314,10050981888
1667196748,16991,0.091,0.9173084718281314,10050981888
1667196764,7348,0.050,0.887854609929078,10030555136
1667196764,4323,0.050,0.887854609929078,10030555136
1667196764,10317,0.128,0.887854609929078,10030555136
1667196764,19417,0.053,0.887854609929078,10030555136
1667196764,16581,0.056,0.887854609929078,10030555136
1667196764,13057,0.055,0.887854609929078,10030555136
1667196778,8601,0.050,0.8938282261545102,10032963584
1667196778,11507,0.068,0.8938282261545102,10032963584
1667196778,14569,0.055,0.8938282261545102,10032963584
1667196778,5603,0.084,0.8938282261545102,10032963584
1667196778,17648,0.079,0.8938282261545102,10032963584
