ts,pl,rt,cpu,freemem
1667179310,8791,0.119,0.8836846213895394,10230865920
1667179310,12791,0.123,0.8836846213895394,10230865920
1667179310,10843,0.156,0.8836846213895394,10230865920
1667179310,4749,0.159,0.8836846213895394,10230865920
1667179310,6759,0.125,0.8836846213895394,10230865920
1667179310,14907,0.116,0.8836846213895394,10230865920
1667179310,16863,0.113,0.8836846213895394,10230865920
1667179327,14460,0.084,0.9213793103448276,10178908160
1667179327,16447,0.077,0.9213793103448276,10178908160
1667179327,6417,0.079,0.9213793103448276,10178908160
1667179327,10373,0.078,0.9213793103448276,10178908160
1667179327,4441,0.089,0.9214334941419711,10178908160
1667179327,8373,0.077,0.9214334941419711,10178908160
1667179327,18445,0.077,0.9213793103448276,10178908160
1667179327,12391,0.077,0.9214334941419711,10178908160
1667179343,11846,0.075,0.8861598440545809,10189893632
1667179343,3838,0.058,0.8862485391507596,10189893632
1667179343,13744,0.057,0.8861598440545809,10189893632
1667179343,9866,0.059,0.8862485391507596,10189893632
1667179343,15828,0.064,0.8861598440545809,10189893632
1667179343,5746,0.060,0.8861598440545809,10189893632
1667179343,17825,0.079,0.8861598440545809,10189893632
1667179343,7727,0.058,0.8862485391507596,10189893632
1667179359,13088,0.079,0.9103321033210332,10189496320
1667179359,11151,0.114,0.9103321033210332,10189496320
1667179359,19059,0.091,0.9103321033210332,10189496320
1667179359,5003,0.083,0.9103321033210332,10189496320
1667179359,7112,0.111,0.9103321033210332,10189496320
1667179359,15119,0.082,0.9103321033210332,10189496320
1667179359,9084,0.115,0.9103321033210332,10189496320
1667179359,16953,0.079,0.9103321033210332,10189496320
