ts,pl,rt,cpu,freemem
1667180425,11454,0.062,0.8991310918020401,10196955136
1667180425,5342,0.058,0.8991310918020401,10196955136
1667180425,17439,0.056,0.8991310918020401,10196955136
1667180425,9367,0.057,0.8991310918020401,10196955136
1667180425,7428,0.057,0.8991310918020401,10196955136
1667180425,15465,0.061,0.8991310918020401,10196955136
1667180425,13443,0.065,0.8991310918020401,10196955136
1667180442,19058,0.124,0.9086859688195991,10162417664
1667180442,8948,0.134,0.9086859688195991,10162417664
1667180442,11138,0.158,0.9086859688195991,10162417664
1667180442,7067,0.124,0.9087198515769944,10162417664
1667180442,4994,0.215,0.9086859688195991,10162417664
1667180442,13122,0.201,0.9086859688195991,10162417664
1667180442,17104,0.135,0.9087198515769944,10162417664
1667180442,15208,0.125,0.9086859688195991,10162417664
1667180457,19497,0.067,0.8898539281484406,10171092992
1667180457,17682,0.112,0.8898539281484406,10171092992
1667180457,11594,0.103,0.8898539281484406,10171092992
1667180457,9521,0.056,0.8898539281484406,10171092992
1667180457,7555,0.059,0.8898539281484406,10171092992
1667180457,5580,0.057,0.8898539281484406,10171092992
1667180457,13650,0.059,0.8898539281484406,10171092992
1667180457,15525,0.059,0.8898539281484406,10171092992
1667180473,17912,0.117,0.8771304003170828,10180530176
1667180473,19869,0.147,0.8771304003170828,10180530176
1667180473,5950,0.117,0.8772277227722772,10180530176
1667180473,11829,0.119,0.8771304003170828,10180530176
1667180473,15828,0.149,0.8771304003170828,10180530176
1667180473,13910,0.119,0.8772277227722772,10180530176
1667180473,3793,0.117,0.8771304003170828,10180530176
1667180473,9879,0.120,0.8771304003170828,10180530176
1667180473,7871,0.121,0.8771304003170828,10180530176
