ts,pl,rt,cpu,freemem
1667175815,491,0.074,0.9789473684210527,10243883008
1667175816,476,0.076,0.9786096256684492,10243416064
1667175817,498,0.083,0.9948186528497409,10242641920
1667175818,455,0.113,0.9679144385026738,10242412544
1667175819,493,0.060,0.9743589743589743,10242412544
1667175820,657,0.069,0.6310160427807487,10240978944
1667175821,463,0.109,0.7486631016042781,10240425984
1667175822,465,0.087,1,10240094208
1667175823,535,0.082,0.9894736842105263,10239152128
1667175825,557,0.113,1,10238664704
1667175825,510,0.083,0.968421052631579,10241105920
1667175826,471,0.082,0.9797979797979798,10240663552
1667175828,490,0.088,0.9748743718592965,10240204800
1667175828,461,0.124,0.962962962962963,10239492096
1667175829,466,0.086,0.9894179894179894,10239033344
1667175830,481,0.061,0.6417112299465241,10238574592
1667175832,485,0.087,0.7564766839378239,10237886464
1667175833,472,0.086,0.984375,10238181376
1667175834,494,0.075,0.9895833333333334,10241253376
1667175835,553,0.081,0.9787234042553191,10241163264
1667175835,474,0.150,0.9680851063829787,10241085440
1667175837,603,0.104,0.9162303664921466,10240446464
1667175838,592,0.076,0.9791666666666666,10240217088
1667175839,491,0.127,0.9783783783783784,10239893504
1667175840,499,0.066,0.9528795811518325,10240319488
1667175841,538,0.073,0.5631578947368421,10240155648
1667175842,550,0.171,0.8333333333333334,10240221184
1667175843,490,0.078,0.98989898989899,10242109440
1667175844,545,0.084,0.9792746113989638,10244153344
1667175845,571,0.082,0.958974358974359,10243891200
1667175846,529,0.120,0.9842931937172775,10243432448
1667175847,523,0.118,0.9948453608247423,10243174400
1667175848,523,0.070,0.9844559585492227,10243174400
1667175849,525,0.076,0.9792746113989638,10242596864
1667175850,473,0.058,0.9210526315789473,10241867776
1667175851,557,0.107,0.6391752577319587,10241409024
1667175852,477,0.122,0.9853658536585366,10240921600
1667175853,505,0.078,1,10240233472
1667175854,503,0.117,0.9842105263157894,10239774720
1667175855,556,0.077,1,10242715648
1667175856,510,0.122,0.9895833333333334,10242777088
1667175857,495,0.110,1,10243129344
1667175858,549,0.122,1,10241445888
1667175859,566,0.079,1,10234277888
1667175860,526,0.071,0.9792746113989638,10234396672
1667175861,511,0.076,0.7015706806282722,10235830272
1667175862,495,0.075,0.8421052631578947,10236559360
1667175863,540,0.114,0.9845360824742269,10236420096
1667175864,620,0.079,0.9948453608247423,10235850752
1667175865,617,0.161,0.9897959183673469,10235576320
1667175866,473,0.125,0.9947643979057592,10238722048
1667175867,535,0.131,1,10238906368
1667175868,567,0.121,1,10239401984
1667175869,519,0.075,0.9792746113989638,10242215936
1667175870,514,0.064,0.9896907216494846,10241814528
1667175871,517,0.115,0.6205128205128205,10242719744
1667175872,559,0.085,0.9035532994923858,10242215936
