ts,pl,rt,cpu,freemem
1667176015,759,0.121,1,10228215808
1667176015,1039,0.167,1,10228215808
1667176016,802,0.150,1,10227740672
1667176017,836,0.107,1,10226995200
1667176018,1037,0.122,1,10225750016
1667176020,947,0.115,1,10225491968
1667176020,838,0.126,1,10225262592
1667176021,915,0.082,0.9521276595744681,10219372544
1667176022,641,0.060,0.8263157894736842,10218414080
1667176023,744,0.062,0.8502673796791445,10217938944
1667176024,883,0.200,0.8497409326424871,10217709568
1667176025,595,0.131,0.9617224880382775,10217480192
1667176027,847,0.126,1,10215604224
1667176028,973,0.164,0.9902439024390244,10214146048
1667176029,901,0.126,1,10212483072
1667176030,791,0.061,1,10214752256
1667176031,1118,0.078,0.8432432432432433,10220834816
1667176031,783,0.085,0.8393782383419689,10221432832
1667176032,596,0.117,0.8461538461538461,10223542272
1667176033,641,0.081,0.9953488372093023,10228862976
1667176035,1028,0.129,0.9952380952380953,10231848960
1667176036,811,0.156,1,10233491456
1667176037,1028,0.105,1,10232946688
1667176038,1045,0.138,1,10232557568
1667176039,992,0.085,1,10232328192
1667176040,976,0.060,0.9206349206349207,10232098816
1667176041,962,0.056,0.7969543147208122,10231869440
1667176041,820,0.082,0.7936507936507937,10231394304
1667176042,575,0.125,0.8548387096774194,10230906880
1667176044,634,0.124,1,10229620736
1667176045,893,0.124,1,10231267328
1667176046,973,0.126,1,10232135680
1667176047,952,0.136,1,10230575104
1667176048,894,0.134,1,10229575680
1667176049,1028,0.123,1,10228215808
1667176050,806,0.100,0.9950738916256158,10226868224
1667176051,1064,0.063,0.8010752688172043,10226380800
1667176052,937,0.070,0.8229166666666666,10225905664
1667176052,641,0.073,0.8225806451612903,10225446912
1667176053,592,0.080,0.9826839826839827,10223972352
1667176055,998,0.133,0.9902439024390244,10223943680
1667176056,997,0.135,1,10223579136
1667176057,901,0.122,1,10223841280
1667176058,804,0.178,1,10223611904
1667176059,1112,0.061,1,10223644672
1667176060,920,0.058,0.9384615384615385,10223185920
1667176061,856,0.145,0.6804123711340206,10222956544
1667176061,819,0.113,0.8609625668449198,10222956544
1667176063,573,0.133,1,10222497792
1667176064,981,0.133,1,10221780992
1667176065,1014,0.084,1,10221551616
1667176066,959,0.082,1,10221076480
1667176067,993,0.079,0.986046511627907,10220126208
