ts,pl,rt,cpu,freemem
1667197524,3698,0.120,0.9190672153635117,10001498112
1667197524,6320,0.120,0.9191411603471905,10001498112
1667197545,15590,0.122,1,9931010048
1667197545,9994,0.115,1,9931010048
1667197545,7660,0.072,1,9931010048
1667197545,12813,0.073,1,9931010048
1667197564,13422,0.106,0.9976076555023924,9749254144
1667197564,21158,0.074,0.9974415204678363,9749254144
1667197564,10620,0.081,0.9976060191518468,9749254144
1667197564,18914,0.072,0.9976092896174863,9749254144
1667197564,16178,0.073,0.9976076555023924,9749254144
1667197584,16137,0.086,0.9979570990806946,9749041152
1667197584,22034,0.092,0.9979570990806946,9749041152
1667197584,13965,0.125,0.9979536152796725,9749041152
1667197584,11005,4.709,0.9979536152796725,9749041152
1667197584,24875,0.117,0.997943797121316,9749041152
1667197584,19049,0.145,0.9979570990806946,9749041152
1667197584,7960,0.125,0.9979536152796725,9749041152
1667197604,8796,0.077,0.9983299933199733,9741783040
1667197604,23250,0.078,0.9983299933199733,9741783040
1667197604,11670,0.075,0.9983299933199733,9741783040
1667197604,20229,0.074,0.9983299933199733,9741783040
1667197604,17430,0.082,0.9983299933199733,9741783040
1667197604,14726,0.178,0.9983299933199733,9741783040
1667197604,5737,0.119,0.9983299933199733,9741783040
1667197623,18989,0.118,0.9803149606299213,9954824192
1667197623,16243,0.183,0.9803149606299213,9954824192
1667197623,21816,0.138,0.9803220035778175,9955082240
1667197623,13566,0.118,0.9803008595988538,9954824192
1667197623,7627,0.151,0.9803008595988538,9954824192
1667197623,10563,0.109,0.9803008595988538,9954824192
1667197638,6623,0.056,0.8982009653356735,9924493312
1667197638,12483,0.084,0.8982009653356735,9924493312
1667197638,21203,0.053,0.8982456140350877,9924493312
1667197638,15186,0.057,0.8982456140350877,9924493312
1667197638,18116,0.101,0.8982456140350877,9924493312
1667197638,9547,0.055,0.8982456140350877,9924493312
1667197638,23857,0.058,0.8982902235861464,9924493312
