ts,pl,rt,cpu,freemem
1667180225,3936,0.059,0.8847626339969372,10198867968
1667180225,15882,0.058,0.8846743295019157,10198867968
1667180225,13933,0.080,0.8847626339969372,10198867968
1667180225,11875,0.059,0.8846743295019157,10198867968
1667180225,5860,0.063,0.8847626339969372,10198867968
1667180225,7832,0.141,0.8846743295019157,10198867968
1667180225,9869,0.097,0.8846743295019157,10198867968
1667180241,11523,0.060,0.8759503801520608,10194661376
1667180241,17603,0.058,0.8759503801520608,10194661376
1667180241,5509,0.080,0.8759503801520608,10194661376
1667180241,9571,0.058,0.8759007205764612,10194661376
1667180241,13641,0.057,0.8759503801520608,10194661376
1667180241,15453,0.088,0.8759503801520608,10194661376
1667180241,7533,0.057,0.8759503801520608,10194661376
1667180257,7029,0.123,0.9165154264972777,10158858240
1667180257,13325,0.114,0.9165154264972777,10158858240
1667180257,5209,0.133,0.9165154264972777,10158858240
1667180257,17339,0.177,0.9165154264972777,10158858240
1667180257,9227,0.117,0.9165154264972777,10158858240
1667180257,15277,0.108,0.9165154264972777,10158858240
1667180257,11243,0.125,0.9165154264972777,10158858240
1667180257,19321,0.167,0.9165154264972777,10158858240
1667180264,10616,0.072,0.8782051282051282,10174734336
1667180264,18456,0.236,0.8782051282051282,10174734336
1667180264,4595,0.098,0.8782051282051282,10174734336
1667180264,8631,0.084,0.8782051282051282,10174734336
1667180264,6629,0.093,0.879144385026738,10174734336
1667180264,12564,0.102,0.8782051282051282,10174734336
1667180264,16596,0.087,0.8782051282051282,10174734336
1667180264,14566,0.143,0.879144385026738,10174734336
1667180280,8847,0.066,0.9078404401650619,10187173888
1667180280,10883,0.088,0.9078404401650619,10187173888
1667180280,18930,0.089,0.9078404401650619,10187173888
1667180280,16906,0.062,0.9079037800687285,10187173888
1667180280,14879,0.070,0.9078404401650619,10187173888
1667180280,6957,0.069,0.9078404401650619,10187173888
1667180280,12934,0.059,0.9078404401650619,10187173888
1667180280,2899,0.059,0.9078404401650619,10187173888
1667180280,4947,0.064,0.9079037800687285,10187173888
