ts,pl,rt,cpu,freemem
1667176220,1570,0.118,1,10184970240
1667176221,1426,0.127,1,10183868416
1667176222,1142,0.063,1,10185850880
1667176223,1558,0.058,0.9207920792079208,10185596928
1667176223,1218,0.057,0.8118279569892473,10185662464
1667176224,1168,0.117,0.9126637554585153,10187591680
1667176225,861,0.085,0.8232323232323232,10193006592
1667176226,1181,0.125,0.8970588235294118,10198867968
1667176227,949,0.117,0.9504504504504504,10197979136
1667176228,903,0.108,1,10202021888
1667176229,1051,0.062,1,10201030656
1667176231,1254,0.088,0.8636363636363636,10200924160
1667176232,1503,0.084,0.8260869565217391,10207887360
1667176233,909,0.056,0.9556650246305418,10207846400
1667176233,1187,0.059,0.910394265232975,10207846400
1667176234,719,0.124,0.835978835978836,10215079936
1667176235,1019,0.146,0.9826839826839827,10217680896
1667176236,843,0.113,1,10218651648
1667176238,1234,0.306,1,10218422272
1667176239,1454,0.064,1,10227548160
1667176240,1940,0.060,0.9948186528497409,10228768768
1667176241,1339,0.062,0.9292929292929293,10228797440
1667176242,1407,0.093,0.8426395939086294,10228092928
1667176242,1370,0.124,0.8300970873786407,10227093504
1667176243,793,0.163,0.928030303030303,10227294208
1667176245,1023,0.190,1,10229092352
1667176246,1301,0.116,1,10229407744
1667176247,1341,0.123,1,10231844864
1667176248,1498,0.138,1,10231537664
1667176249,1540,0.055,1,10230980608
1667176250,1482,0.078,1,10230235136
1667176250,1033,0.057,0.9459459459459459,10231136256
1667176252,1220,0.085,0.8406593406593407,10232680448
1667176255,1123,0.087,0.9955357142857143,10230136832
1667176253,1527,0.097,0.9365853658536585,10232541184
1667176257,2000,0.123,1,10227904512
1667176258,2318,0.086,1,10226171904
1667176258,2697,0.084,1,10226671616
1667176259,2495,0.063,1,10227240960
1667176260,1439,0.067,0.8627450980392157,10224914432
1667176260,1383,0.058,0.8627450980392157,10224914432
1667176261,1071,0.123,0.8301886792452831,10224914432
1667176261,1074,0.058,0.835978835978836,10224685056
1667176262,949,0.126,0.8340611353711791,10224455680
1667176264,940,0.120,0.9806763285024155,10223996928
1667176265,1024,0.094,1,10225647616
1667176267,1901,0.118,0.9895287958115183,10225201152
1667176267,1317,0.108,0.9895287958115183,10225201152
1667176268,1549,0.063,1,10224496640
1667176269,1206,0.068,1,10222977024
1667176270,1508,0.061,0.9056603773584906,10222206976
1667176271,1748,0.093,0.9212962962962963,10222792704
1667176272,1265,0.126,0.8820960698689957,10222333952
1667176272,647,0.116,0.8916256157635468,10222104576
1667176273,884,0.144,0.9949238578680203,10221629440
