ts,pl,rt,cpu,freemem
1667199023,9300,0.057,0.8926701570680629,9867931648
1667199023,13010,0.054,0.8954219030520646,9867931648
1667199038,18984,0.103,0.9175398633257403,9898356736
1667199038,21169,0.091,0.9175022789425706,9898356736
1667199038,7539,0.086,0.9171245421245421,9898356736
1667199038,11318,0.084,0.9172003659652332,9898356736
1667199053,6973,0.058,0.8902671755725191,9912156160
1667199053,14657,0.055,0.8902671755725191,9912156160
1667199084,20165,0.147,0.8775804128660586,9810423808
1667199084,16288,0.074,0.8771593090211133,9810423808
1667199084,12858,0.143,0.8771593090211133,9810423808
1667199084,8713,0.149,0.8771593090211133,9810423808
1667199115,8457,0.058,0.8839285714285714,9871605760
1667199115,14471,0.056,0.8849776896380763,9871605760
1667199115,24382,0.084,0.8839830906528887,9871605760
1667199115,17697,0.060,0.8838193791157103,9871605760
1667199115,21524,0.054,0.8839285714285714,9871605760
1667199115,19871,0.073,0.8842006563525551,9871605760
1667199115,16266,0.055,0.8840919755983107,9871605760
1667199130,12053,0.056,0.9069767441860466,9898708992
1667199130,19384,0.055,0.9066418950301904,9898708992
1667199130,15551,0.064,0.9069767441860466,9898708992
1667199146,6413,0.059,0.9183417085427136,9866420224
1667199146,13968,0.068,0.9181969949916527,9866420224
1667199146,10065,0.056,0.9178824510212589,9866420224
1667199161,9887,0.058,0.8865979381443299,9854828544
1667199161,17334,0.063,0.8867745004757374,9854828544
1667199161,13457,0.062,0.8864485981308411,9854828544
1667199176,17416,0.058,0.8910377358490567,9860300800
1667199176,9694,0.053,0.8913043478260869,9860300800
1667199176,21201,0.053,0.8910377358490567,9860300800
1667199176,13705,0.053,0.8913043478260869,9860300800
1667199192,17164,0.079,0.9275979557069847,9904652288
1667199192,21305,0.076,0.9275979557069847,9904652288
1667199192,9758,0.097,0.9275979557069847,9904652288
1667199192,13305,0.077,0.9275979557069847,9904652288
