ts,pl,rt,cpu,freemem
1667175730,450,0.079,0.7061855670103092,10236891136
1667175731,460,0.130,0.8393782383419689,10236743680
1667175732,458,0.075,0.9481865284974094,10236284928
1667175733,467,0.094,0.8963730569948186,10235596800
1667175735,467,0.082,0.788659793814433,10235367424
1667175736,502,0.071,0.8952879581151832,10235138048
1667175737,489,0.078,0.9259259259259259,10234679296
1667175738,466,0.074,0.890625,10234220544
1667175739,474,0.059,0.8911917098445596,10234621952
1667175740,479,0.060,0.8526315789473684,10234884096
1667175741,473,0.059,0.671875,10235617280
1667175742,449,0.135,0.8526315789473684,10235609088
1667175743,500,0.080,0.84375,10235412480
1667175744,481,0.079,0.8900523560209423,10235613184
1667175745,469,0.197,0.7905759162303665,10235576320
1667175746,484,0.071,0.9270833333333334,10235346944
1667175747,463,0.079,0.9128205128205128,10234888192
1667175748,469,0.090,0.8571428571428572,10234503168
1667175749,462,0.074,0.9405405405405405,10234273792
1667175750,460,0.066,0.8978494623655914,10233303040
1667175751,470,0.065,0.5668449197860963,10232922112
1667175752,462,0.056,0.8131313131313131,10233561088
1667175753,542,0.084,0.8882978723404256,10233307136
1667175754,469,0.088,0.8795811518324608,10233524224
1667175755,467,0.080,0.9162303664921466,10233065472
1667175756,468,0.060,0.9015544041450777,10232860672
1667175757,474,0.120,0.8829787234042553,10233106432
1667175758,471,0.080,0.8670212765957447,10232848384
1667175759,484,0.085,0.9424083769633508,10232778752
1667175760,488,0.091,0.8072916666666666,10232320000
1667175761,471,0.120,0.5842105263157895,10232717312
1667175762,462,0.080,0.8923076923076922,10232856576
1667175763,484,0.060,0.9528795811518325,10232975360
1667175764,488,0.071,0.8947368421052632,10236899328
1667175765,482,0.128,0.8983957219251337,10236342272
1667175766,477,0.058,0.8783068783068784,10235637760
1667175767,490,0.067,0.8835978835978836,10236461056
1667175768,492,0.081,0.898936170212766,10237718528
1667175769,478,0.077,0.8481675392670157,10237542400
1667175770,546,0.143,0.8677248677248677,10237440000
1667175771,466,0.069,0.6808510638297872,10237173760
1667175772,505,0.062,0.9259259259259259,10236342272
1667175773,471,0.085,0.9581151832460733,10238152704
1667175774,481,0.077,0.9263157894736842,10238025728
1667175775,500,0.119,0.8958333333333334,10237247488
1667175776,496,0.124,0.9481865284974094,10236915712
1667175777,489,0.094,0.7526881720430108,10236456960
1667175778,510,0.078,0.7684210526315789,10236940288
1667175779,487,0.067,0.8842105263157894,10236661760
1667175780,506,0.136,0.8157894736842105,10236379136
1667175781,495,0.082,0.6542553191489362,10236465152
1667175782,474,0.078,0.9375,10236203008
1667175783,471,0.134,0.9365079365079365,10235932672
1667175784,491,0.085,0.8578947368421053,10235801600
1667175785,484,0.130,0.90625,10236555264
1667175786,476,0.082,0.8315789473684211,10236145664
1667175787,501,0.080,0.8172043010752688,10235432960
