ts,pl,rt,cpu,freemem
1667175643,456,0.076,0.5828877005347594,10390306816
1667175644,458,0.061,0.4619565217391305,10385719296
1667175645,463,0.088,0.5255102040816326,10371354624
1667175646,475,0.063,0.5918367346938775,10370666496
1667175647,473,0.085,0.4526315789473684,10359398400
1667175648,468,0.140,0.5294117647058824,10352488448
1667175649,449,0.073,0.4972972972972973,10337992704
1667175650,484,0.069,0.6071428571428572,10329534464
1667175651,451,0.071,0.4397905759162304,10328592384
1667175652,472,0.071,0.6307692307692307,10318098432
1667175653,473,0.080,0.456989247311828,10317639680
1667175654,471,0.088,0.5508021390374331,10319634432
1667175655,457,0.065,0.5638297872340425,10321719296
1667175656,470,0.074,0.40512820512820513,10321022976
1667175657,472,0.090,0.6203208556149733,10320105472
1667175658,451,0.063,0.4157894736842105,10311417856
1667175659,482,0.059,0.5806451612903225,10282119168
1667175660,470,0.083,0.43523316062176165,10280628224
1667175661,473,0.061,0.6804123711340206,10280169472
1667175662,472,0.089,0.47643979057591623,10279710720
1667175663,478,0.082,0.6446700507614214,10279251968
1667175664,466,0.060,0.38586956521739135,10278793216
1667175665,460,0.070,0.4814814814814815,10277019648
1667175666,459,0.057,0.5104166666666667,10276331520
1667175667,486,0.058,0.40625,10275872768
1667175668,481,0.075,0.6335078534031413,10272301056
1667175669,463,0.066,0.3967391304347826,10271612928
1667175670,456,0.058,0.5906735751295337,10271154176
1667175671,469,0.079,0.4358974358974359,10270212096
1667175672,468,0.065,0.6701570680628273,10269982720
1667175673,470,0.085,0.4347826086956522,10269523968
1667175674,497,0.139,0.5989583333333333,10265968640
1667175675,550,0.132,0.41237113402061853,10265280512
1667175676,447,0.061,0.6349206349206349,10263818240
1667175677,466,0.074,0.4083769633507853,10263130112
1667175678,457,0.064,0.5463917525773196,10262671360
1667175679,469,0.068,0.546875,10262188032
1667175680,459,0.078,0.3948717948717949,10261499904
1667175681,464,0.072,0.5824742268041236,10260189184
1667175682,473,0.533,0.4893617021276596,10268172288
1667175684,493,0.177,0.5026178010471204,10266681344
1667175685,511,0.082,0.3670212765957447,10266451968
1667175685,488,0.066,0.6772486772486772,10265993216
1667175687,456,0.067,0.41052631578947374,10252247040
1667175687,465,0.077,0.6084656084656085,10246115328
1667175689,469,0.132,0.44919786096256686,10244366336
1667175689,459,0.068,0.41081081081081083,10241355776
1667175691,469,0.080,0.6321243523316062,10234417152
1667175692,474,0.094,0.36363636363636365,10236223488
1667175693,513,0.091,0.6842105263157895,10236739584
1667175694,482,0.075,0.46808510638297873,10236051456
1667175695,481,0.080,0.6473684210526316,10235346944
1667175696,459,0.101,0.3812154696132597,10234404864
1667175697,461,0.083,0.4450261780104712,10224152576
1667175698,457,0.122,0.6137566137566137,10230489088
1667175699,453,0.123,0.4130434782608695,10232954880
1667175700,456,0.102,0.6125654450261779,10236686336
