ts,pl,rt,cpu,freemem
1667180524,718,0.073,0.8967032967032967,10189316096
1667180528,2529,0.056,0.6084656084656085,10185076736
1667180528,3026,0.067,0.7921348314606742,10184847360
1667180529,1040,0.079,0.8115942028985508,10184847360
1667180532,1229,0.094,0.6256983240223464,10184388608
1667180532,757,0.065,0.6685714285714286,10184159232
1667180535,790,0.058,0.8509803921568627,10190061568
1667180537,1352,0.057,0.7740112994350282,10188570624
1667180538,481,0.139,0.8660287081339713,10188296192
1667180544,1006,0.119,0.6145833333333333,10188877824
1667180544,3040,0.120,0.6145833333333333,10188877824
1667180544,4986,0.188,0.616580310880829,10188877824
1667180546,831,0.191,0.2857142857142857,10186739712
1667180548,480,0.222,0.9585492227979274,10184785920
1667180550,463,0.077,0.7027027027027026,10183962624
1667180552,503,0.075,0.6201117318435754,10178084864
1667180554,485,0.071,0.4530386740331491,10176909312
1667180556,467,0.056,0.5953757225433526,10189901824
1667180559,906,0.159,0.3297297297297297,10193842176
1667180560,464,0.053,0.1925133689839572,10193727488
1667180564,485,0.055,0.8998144712430427,10188046336
1667180566,2130,0.058,0.8620689655172413,10190675968
1667180566,629,0.061,0.856353591160221,10191863808
1667180574,929,0.160,0.8852672750977836,10189574144
1667180586,1841,0.056,0.8948339483394834,10172030976
1667180588,2450,0.127,0.8342245989304813,10172084224
1667180588,1109,0.130,0.8342245989304813,10172084224
1667180588,4446,0.120,0.8342245989304813,10172084224
1667180589,2622,0.123,0.8350515463917526,10171691008
1667180589,4653,0.207,0.8350515463917526,10171691008
1667180589,781,0.125,0.8367346938775511,10171691008
1667180589,10666,0.132,0.8350515463917526,10171691008
1667180589,8543,0.168,0.8350515463917526,10171691008
1667180589,6471,0.120,0.8367346938775511,10171691008
1667180590,510,0.269,0.7486631016042781,10170773504
1667180592,474,0.316,0.5459459459459459,10169356288
1667180594,557,0.185,0.29729729729729726,10167980032
1667180596,465,0.136,0.5191256830601093,10166358016
1667180598,474,0.080,0.5,10164981760
1667180600,460,0.164,0.8387096774193549,10212216832
1667180602,482,0.186,0.6808510638297872,10211299328
1667180604,469,0.069,0.48958333333333337,10210611200
1667180606,585,0.130,0.5797872340425532,10209628160
1667180608,539,0.111,0.9842931937172775,10206187520
1667180610,478,0.131,0.9348837209302325,10191405056
1667180614,1763,0.064,0.919431279620853,10160472064
1667180616,581,0.063,0.8771498771498771,10157330432
1667180618,2087,0.061,0.6123595505617978,10156183552
1667180619,952,0.083,0.6685082872928176,10156183552
1667180620,517,0.138,0.7701149425287357,10155266048
1667180622,491,0.062,0.7225130890052356,10154577920
1667180625,543,0.063,0.842741935483871,10155507712
1667180628,1816,0.194,0.5957446808510638,10163400704
1667180628,556,0.055,0.4145077720207254,10164215808
1667180630,552,0.058,0.4505494505494505,10164412416
1667180634,776,0.077,0.8563829787234043,10167570432
1667180635,1448,0.086,0.553763440860215,10203906048
