ts,pl,rt,cpu,freemem
1667175931,732,0.055,0.6387434554973822,10279743488
1667175932,502,0.079,0.8972972972972972,10279038976
1667175933,501,0.110,0.9368932038834952,10278809600
1667175934,763,0.116,1,10277834752
1667175935,595,0.120,1,10276315136
1667175936,689,0.120,1,10275856384
1667175937,729,0.150,1,10275627008
1667175938,742,0.113,1,10275397632
1667175939,960,0.057,1,10275168256
1667175940,680,0.055,0.9263157894736842,10274938880
1667175941,927,0.235,0.815,10274480128
1667175942,475,0.123,0.981042654028436,10274250752
1667175943,654,0.123,1,10276257792
1667175949,677,0.121,1,10277994496
1667175950,5785,0.054,0.8983957219251337,10275897344
1667175951,1697,0.122,0.7120418848167539,10275643392
1667175951,827,0.112,0.7777777777777778,10275643392
1667175951,2839,0.126,0.7777777777777778,10275643392
1667175951,3856,0.145,0.8073394495412844,10273579008
1667175951,6085,0.125,0.8434343434343434,10273579008
1667175952,5489,0.119,0.9242424242424242,10272821248
1667175952,481,0.149,0.9842931937172775,10272821248
1667175953,593,0.130,1,10271387648
1667175954,793,0.115,1,10268147712
1667175955,717,0.081,1,10266402816
1667175956,673,0.142,0.9904761904761905,10265153536
1667175957,766,0.074,0.9947089947089947,10263150592
1667175958,682,0.133,0.9946808510638298,10261889024
1667175959,646,0.119,1,10260684800
1667175960,954,0.085,0.8952879581151832,10259955712
1667175961,706,0.088,0.7663043478260869,10259726336
1667175962,569,0.107,0.9748743718592965,10259496960
1667175963,677,0.082,0.9948979591836735,10259038208
1667175964,563,0.052,0.983957219251337,10258563072
1667175965,562,0.125,0.98989898989899,10258079744
1667175966,600,0.080,1,10256142336
1667175967,942,0.083,1,10254938112
1667175968,790,0.151,0.9949494949494949,10253467648
1667175969,778,0.055,1,10252967936
1667175970,680,0.123,0.8648648648648649,10252738560
1667175971,754,0.167,0.8275862068965517,10252279808
1667175972,522,0.163,1,10252279808
1667175973,741,0.122,1,10251821056
1667175974,743,0.114,1,10251591680
1667175975,806,0.129,1,10251362304
1667175976,604,0.103,1,10251132928
1667175977,801,0.124,1,10250674176
1667175978,650,0.132,1,10250444800
1667175979,638,0.064,1,10249986048
1667175980,734,0.055,0.8097826086956521,10249756672
1667175981,780,0.124,0.7329842931937173,10249297920
1667175982,497,0.084,0.9285714285714286,10249068544
1667175983,637,0.123,1,10248609792
1667175984,738,0.109,1,10248380416
1667175985,743,0.122,1,10247921664
1667175986,707,0.153,1,10247692288
