ts,pl,rt,cpu,freemem
1667198761,14366,0.055,0.8652708238507055,9891254272
1667198761,11069,0.083,0.8650250797993616,9891254272
1667198761,7192,0.053,0.862708719851577,9891254272
1667198775,8105,0.067,0.8813559322033898,9922420736
1667198775,15639,0.057,0.8815331010452961,9922420736
1667198775,11654,0.059,0.8815331010452961,9922420736
1667198806,7359,0.061,0.8745746232377248,9873604608
1667198821,9630,0.054,0.9087921117502055,9878618112
1667198821,13408,0.053,0.9101314116150911,9878618112
1667198836,7269,0.079,0.873758865248227,9894023168
1667198836,18993,0.075,0.873758865248227,9894023168
1667198836,14680,0.072,0.873758865248227,9894023168
1667198836,10908,0.072,0.873758865248227,9894023168
1667198836,11177,0.076,0.873758865248227,9894023168
1667198851,7770,0.070,0.8793947485536271,9932460032
1667198851,15025,0.086,0.878760664571172,9932460032
1667198851,11730,0.086,0.8793947485536271,9932460032
1667198851,18767,0.084,0.8788694481830417,9932460032
1667198867,9406,0.055,0.9346904156064462,9839706112
1667198867,16731,0.052,0.9349936682144364,9839706112
1667198867,13320,0.052,0.9347734011012283,9839706112
1667198882,13428,0.079,0.8807471264367817,9858793472
1667198882,16962,0.076,0.8796426892336624,9858793472
1667198882,9751,0.077,0.8809409505520883,9858793472
1667198882,20911,0.079,0.8792293233082706,9858793472
1667198897,12931,0.071,0.9083068542896051,9870278656
1667198897,20469,0.053,0.9083484573502723,9870278656
1667198897,8937,0.054,0.9083068542896051,9870278656
1667198897,16789,0.098,0.9083068542896051,9870278656
1667198912,15467,0.155,0.8730234786775275,9922588672
1667198912,19170,0.118,0.8730234786775275,9922588672
1667198912,8120,0.153,0.8730234786775275,9922588672
1667198912,12144,0.119,0.8730234786775275,9922588672
1667198927,11170,0.060,0.8681580199904807,9945497600
1667198927,7302,0.056,0.8681580199904807,9945497600
1667198927,18615,0.062,0.868095238095238,9945497600
1667198927,15171,0.063,0.868095238095238,9945497600
