ts,pl,rt,cpu,freemem
1667176356,1066,0.064,1,10196533248
1667176359,1292,0.073,0.9964726631393298,10193735680
1667176361,1987,0.083,0.835,10195369984
1667176361,1829,0.119,0.835,10195369984
1667176362,2453,0.057,0.8394495412844036,10207121408
1667176362,3480,0.071,0.8401826484018264,10207121408
1667176362,1513,0.053,0.8401826484018264,10207121408
1667176363,1126,0.058,0.8495575221238938,10205868032
1667176364,1106,0.110,0.9021739130434783,10205356032
1667176365,1617,0.129,0.9919354838709677,10208755712
1667176367,1204,0.132,1,10208641024
1667176369,2484,0.055,1,10208067584
1667176371,2187,0.053,0.9213973799126638,10213392384
1667176371,3177,0.050,0.9213973799126638,10213392384
1667176372,2966,0.067,0.8356807511737089,10212696064
1667176372,1939,0.067,0.8356807511737089,10212696064
1667176373,1387,0.076,0.864321608040201,10212048896
1667176373,2348,0.079,0.864321608040201,10212048896
1667176374,1326,0.122,0.8760330578512396,10212835328
1667176376,1161,0.127,0.9566265060240964,10215297024
1667176379,991,0.053,1,10211573760
1667176379,1183,0.053,1,10211573760
1667176381,1665,0.067,0.8208333333333333,10223071232
1667176383,3759,3.242,0.875,10227408896
1667176383,2639,0.116,0.875,10227408896
1667176383,4709,0.099,0.875,10227408896
1667176383,1766,0.116,0.875,10227408896
1667176384,1655,0.134,0.8263157894736842,10230525952
1667176384,1237,0.125,0.8544600938967136,10232446976
1667176386,1220,0.113,0.9918032786885246,10234523648
1667176388,1055,0.061,1,10230923264
1667176391,3385,0.081,0.8368421052631578,10234200064
1667176392,1769,0.098,0.812807881773399,10236493824
1667176391,2174,0.089,0.8368421052631578,10234200064
1667176391,2221,0.315,0.8368421052631578,10234200064
1667176392,2044,0.083,0.8168316831683169,10233298944
1667176394,1748,0.182,0.9955156950672646,10232066048
1667176394,2388,0.133,0.9955357142857143,10232066048
1667176399,2454,0.071,1,10228637696
1667176399,1479,0.061,1,10228637696
1667176401,2317,0.058,0.8930232558139535,10232152064
1667176401,3013,0.057,0.8940092165898618,10232152064
1667176409,2077,0.056,0.8364485981308412,10229596160
1667176409,3075,0.055,0.8364485981308412,10229596160
