ts,pl,rt,cpu,freemem
1667196891,3022,0.054,0.8827272727272727,10033999872
1667196907,13299,0.118,0.8960270498732037,10037903360
1667196907,16119,0.077,0.8958068614993646,10037903360
1667196907,7414,0.118,0.8959390862944162,10037903360
1667196907,10423,0.166,0.8959390862944162,10037903360
1667196907,18836,0.121,0.8958068614993646,10037903360
1667196923,10029,0.056,0.897196261682243,9994280960
1667196923,18410,0.058,0.8968152866242038,9994280960
1667196923,15840,0.076,0.8968152866242038,9994280960
1667196923,12893,0.057,0.897196261682243,9994280960
1667196923,7526,0.057,0.897196261682243,9994280960
1667196939,19869,0.109,0.9028571428571428,10044395520
1667196939,11093,0.077,0.9028571428571428,10044395520
1667196939,16971,0.120,0.9028571428571428,10044395520
1667196939,8027,0.072,0.9028571428571428,10044395520
1667196939,14017,0.129,0.9028571428571428,10044395520
1667196954,20174,0.061,0.896774193548387,10054053888
1667196954,14336,0.060,0.896774193548387,10054053888
1667196954,8432,0.054,0.8967297762478486,10054053888
1667196954,17360,0.075,0.8971157985363754,10054053888
1667196954,11219,0.060,0.896774193548387,10054053888
1667196954,5518,0.055,0.8971157985363754,10054053888
1667196971,18592,0.086,0.9092363054778089,10047979520
1667196971,12493,0.103,0.9092363054778089,10047979520
1667196971,9551,0.077,0.9092363054778089,10047979520
1667196971,6566,0.071,0.9092363054778089,10047979520
1667196971,15436,0.062,0.9092363054778089,10047979520
1667196986,9729,0.073,0.8944895343870141,10055462912
1667196986,6718,0.079,0.8944895343870141,10055462912
1667196986,12731,0.075,0.8944895343870141,10055462912
1667196986,18688,0.221,0.8944895343870141,10055462912
1667196986,15783,0.079,0.8944895343870141,10055462912
1667197003,14448,0.099,0.8934810396250532,10034958336
1667197003,8212,0.061,0.8934810396250532,10034958336
1667197003,5352,0.075,0.8934810396250532,10034958336
1667197003,17286,0.063,0.8934810396250532,10034958336
1667197003,11369,0.056,0.8934810396250532,10034958336
1667197003,20235,0.076,0.8934810396250532,10034958336
