ts,pl,rt,cpu,freemem
1667198498,8130,0.062,0.8993548387096775,9915863040
1667198498,16050,0.267,0.8994413407821229,9915863040
1667198513,13116,0.109,0.8962350780532599,9941909504
1667198513,17029,0.072,0.8956999085086916,9941909504
1667198513,21168,0.212,0.8949751018560435,9941909504
1667198528,9143,0.058,0.873953488372093,9936986112
1667198528,16371,0.056,0.873953488372093,9936986112
1667198528,24271,0.063,0.8740120874012087,9936986112
1667198528,20162,0.069,0.8740120874012087,9936986112
1667198528,12670,0.054,0.8738948348068869,9936986112
1667198544,11249,0.120,0.9609775325187229,9846960128
1667198544,15220,0.123,0.9609775325187229,9846960128
1667198544,19000,0.080,0.9617317356010824,9846960128
1667198559,17976,0.054,0.8912540490513651,9858326528
1667198559,9847,0.053,0.890524379024839,9858326528
1667198559,6816,0.053,0.890524379024839,9858326528
1667198559,14203,0.070,0.8912540490513651,9858326528
1667198574,14713,0.098,0.9146341463414634,9896927232
1667198574,6999,0.075,0.9146341463414634,9896927232
1667198574,10651,0.065,0.9146341463414634,9896927232
1667198574,18407,0.115,0.9150189314261674,9896927232
1667198589,9280,0.158,0.8764312977099237,9937047552
1667198589,17102,0.116,0.8764312977099237,9937047552
1667198589,13238,0.155,0.8764312977099237,9937047552
1667198605,20811,0.055,0.9078398665554629,9945759744
1667198605,16817,0.054,0.9078398665554629,9945759744
1667198605,5058,0.056,0.9078398665554629,9945759744
1667198605,8965,0.065,0.9078398665554629,9945759744
1667198605,12915,0.057,0.9078398665554629,9945759744
1667198621,11162,0.078,0.8936953520478601,9896517632
1667198621,15305,0.056,0.8936953520478601,9896517632
1667198621,7480,0.054,0.8936953520478601,9896517632
1667198636,11854,0.067,0.9152542372881356,9933369344
1667198636,15685,0.064,0.9152542372881356,9933369344
1667198636,7956,0.082,0.9152542372881356,9933369344
1667198636,20013,0.068,0.9152542372881356,9933369344
1667198651,14479,0.052,0.8763415772281848,9948520448
1667198651,11026,0.052,0.8763415772281848,9948520448
1667198651,19007,0.053,0.8763415772281848,9948520448
1667198651,6887,0.075,0.8763415772281848,9948520448
1667198668,18505,0.113,0.9185123276222316,9927024640
1667198668,10402,0.156,0.9188963210702341,9927024640
1667198668,14552,0.076,0.9188963210702341,9927024640
1667198668,6483,0.182,0.9188963210702341,9927024640
