c,cpu,freemem,pl,rt
200,0.5157331919390237,10282174931.087719,470.5964912280702,0.09026315789473685
400,0.8558052452471865,10235338392.701754,480.5263157894737,0.08785964912280705
600,0.930731678576726,10240450775.578947,519.4736842105264,0.09470175438596487
800,0.940436084874435,10263420928,1079.8392857142858,0.11146428571428567
1000,0.9471003112486726,10224988778.26415,872.9056603773585,0.10992452830188677
1200,0.9397993651125123,10228691390.836363,1910.4727272727273,0.19263636363636372
1400,0.9402751042674861,10217607912.727272,1318.2,0.10007272727272727
1600,0.8997721117394576,10219205445.818182,2037.9772727272727,0.16279545454545458
1800,0.8924508918320351,10227485740.52174,3151.282608695652,0.08421739130434781
2000,0.9563949014747295,10192760832,3358.1666666666665,0.059166666666666666
2200,0.9522316427659387,10141885235.2,10383.366666666667,0.09319999999999999
2400,0.9444505230554416,10159051044.571428,10876.25,0.3316428571428572
2600,0.9307542345078254,10206531956.363636,10182.39393939394,0.26715151515151514
2800,0.9084925342165987,10200817788.121212,9314.727272727272,0.1051212121212121
3000,0.6860449461761587,10205694587.586206,9934.775862068966,0.11232758620689662
3200,0.9081189234422494,10189185160.533333,10502.866666666667,0.10890000000000001
3400,0.9088844670370394,10185488640,10488.34375,0.08321875000000001
3600,0.8983706561660517,10202202376.258064,10476.032258064517,0.06796774193548388
3800,0.90094164671517,10196207946.32258,11291.58064516129,0.09074193548387098
4000,0.8497342954859016,10200240725.333334,9339.333333333334,0.08152083333333335
4200,0.9085085318502023,10162927752.533333,11916.766666666666,0.08920000000000002
4400,0.8927682152147934,10196946944,11473.75,0.07321874999999999
4600,0.9062567430037214,10168468096,10979.40625,0.06746875
4800,0.8937159439498112,10182256692.512821,11251.923076923076,0.09282051282051282
5000,0.8930210259886725,10177235712,12000.6875,0.10406250000000002
5200,0.7051800993867281,10179869570.245613,1594.438596491228,0.11301754385964913
5400,0.5725906642152792,10146278505.931034,1282.2241379310344,0.12415517241379306
5600,0.747976627042287,10135608779.034483,2634.9310344827586,0.38782758620689656
5800,0.5220003072485069,10159243475.862068,986.3275862068965,0.12482758620689656
6000,0.7691910209180114,10160976244.363636,2556.4848484848485,0.07818181818181819
6200,0.8880535975384315,10086729554.440678,9985.898305084746,0.06937288135593221
6400,0.9061461363680723,10054332928,10982.3,0.06494999999999998
6800,0.9004256926194392,10060809362.285715,11814.857142857143,0.06216666666666668
7000,0.8972536784282911,10056084723.809525,11372.380952380952,0.08702380952380952
7200,0.9046838915043514,10040730785.68421,11172,0.07526315789473685
7400,0.9072129653652234,10019299748.102564,11505,0.0887948717948718
7600,0.8998053508394087,10047801667.368422,11411.5,1.241210526315789
7800,0.8927073398417571,10042642537.02564,12116.615384615385,0.06946153846153848
8000,0.8979618600476073,10038636436.210526,12737.263157894737,0.08384210526315794
8200,0.9019739132299439,9990600899.047619,12258.97619047619,0.0917142857142857
8400,0.9036446906886931,10003421081.6,12607.925,0.08757500000000001
8600,0.9728840927217624,9844992970.105263,14448.657894736842,0.22081578947368422
8800,0.9056751656850472,9900951025.37143,12270.228571428572,0.07800000000000001
9000,0.8890164954417333,9911707255.829786,11945.31914893617,0.09493617021276601
9200,0.891251306532922,9909901312,14023.29411764706,0.06782352941176471
9400,0.9012013889194013,9917487104,13594.84090909091,0.088
9600,0.8848385369203999,9896745236.756756,13014.45945945946,0.07497297297297296
9800,0.8984970916848438,9872672881.777779,14591.722222222223,0.07300000000000001
10000,0.8993559469470993,9878144716.8,14037.325,0.0918
